,crop_type
0,2
1,2
2,2
3,1
4,4
5,1
6,2
7,2
8,1
9,1
10,3
11,1
12,1
13,1
14,1
15,2
16,2
17,3
18,1
19,1
20,3
21,2
22,2
23,3
24,1
25,3
26,1
27,2
28,1
29,1
30,1
31,2
32,1
33,4
34,2
35,1
36,3
37,3
38,1
39,1
40,3
41,1
42,2
43,2
44,1
45,2
46,3
47,1
48,1
49,3
50,1
51,2
52,4
53,2
54,1
55,3
56,3
57,1
58,1
59,1
60,2
61,1
62,1
63,3
64,2
65,3
66,1
67,1
68,1
69,1
70,3
71,1
72,4
73,4
74,1
75,1
76,2
77,1
78,4
79,2
80,3
81,1
82,3
83,1
84,2
85,1
86,4
87,2
88,3
89,1
90,1
91,1
92,1
93,3
94,3
95,2
96,1
97,4
98,3
99,2
100,1
101,2
102,4
103,1
104,2
105,1
106,2
107,1
108,1
109,1
110,1
111,3
112,3
113,3
114,1
115,1
116,2
117,2
118,1
119,3
120,3
121,1
122,1
123,1
124,1
125,2
126,3
127,2
128,3
129,4
130,1
131,4
132,1
133,3
134,4
135,1
136,3
137,1
138,1
139,1
140,1
141,1
142,3
143,3
144,1
145,1
146,3
147,1
148,1
149,1
150,3
151,2
152,1
153,2
154,2
155,2
156,4
157,4
158,4
159,2
160,1
161,1
162,3
163,3
164,1
165,3
166,3
167,2
168,1
169,3
170,3
171,1
172,1
173,4
174,1
175,1
176,3
177,1
178,3
179,1
180,1
181,2
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,3
190,3
191,3
192,2
193,1
194,1
195,1
196,4
197,3
198,3
199,2
200,3
201,3
202,1
203,3
204,1
205,2
206,1
207,3
208,1
209,3
210,1
211,1
212,3
213,1
214,1
215,2
216,2
217,2
218,3
219,1
220,1
221,2
222,2
223,4
224,3
225,3
226,3
227,1
228,3
229,1
230,1
231,4
232,1
233,2
234,2
235,1
236,3
237,3
238,3
239,1
240,2
241,4
242,3
243,2
244,1
245,1
246,3
247,2
248,1
249,4
250,1
251,3
252,1
253,1
254,1
255,3
256,3
257,3
258,1
259,1
260,4
261,3
262,1
263,3
264,1
265,1
266,1
267,2
268,2
269,2
270,2
271,2
272,2
273,3
274,1
275,1
276,1
277,1
278,4
279,3
280,1
281,1
282,1
283,4
284,2
285,1
286,3
287,2
288,1
289,4
290,3
291,2
292,4
293,3
294,4
295,3
296,1
297,4
298,2
299,4
300,4
301,2
302,1
303,2
304,1
305,3
306,2
307,1
308,3
309,2
310,4
311,1
312,1
313,1
314,3
315,1
316,2
317,3
318,4
319,3
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,4
334,3
335,3
336,1
337,3
338,3
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,3
349,2
350,3
351,3
352,2
353,2
354,1
355,1
356,1
357,2
358,2
359,1
360,4
361,3
362,1
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,1
371,2
372,1
373,2
374,3
375,3
376,3
377,4
378,1
379,1
380,3
381,1
382,1
383,1
384,3
385,1
386,1
387,2
388,1
389,1
390,1
391,3
392,4
393,3
394,1
395,1
396,1
397,3
398,1
399,3
400,1
401,1
402,1
403,3
404,3
405,1
406,1
407,1
408,3
409,1
410,1
411,4
412,1
413,1
414,3
415,3
416,2
417,1
418,2
419,3
420,1
421,2
422,1
423,2
424,1
425,1
426,1
427,2
428,3
429,1
430,2
431,3
432,3
433,1
434,1
435,3
436,1
437,1
438,1
439,1
440,1
441,2
442,4
443,3
444,1
445,2
446,1
447,1
448,4
449,1
450,1
451,2
452,2
453,3
454,1
455,2
456,2
457,1
458,1
459,1
460,1
461,2
462,1
463,1
464,2
465,1
466,1
467,2
468,3
469,1
470,2
471,2
472,2
473,2
474,1
475,1
476,3
477,1
478,2
479,3
480,1
481,2
482,2
483,1
484,1
485,3
486,1
487,4
488,4
489,3
490,2
491,2
492,1
493,1
494,2
495,1
496,1
497,1
498,2
499,1
500,1
501,1
502,2
503,4
504,1
505,4
506,1
507,3
508,1
509,1
510,3
511,1
512,3
513,1
514,1
515,1
516,1
517,3
518,2
519,1
520,1
521,4
522,1
523,1
524,3
525,2
526,2
527,2
528,2
529,1
530,3
531,3
532,1
533,1
534,1
535,3
536,2
537,2
538,4
539,1
540,1
541,2
542,2
543,2
544,2
545,3
546,1
547,1
548,1
549,2
550,1
551,3
552,3
553,2
554,2
555,3
556,1
557,1
558,2
559,3
560,1
561,1
562,1
563,1
564,2
